NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.41
Barycenter M:7.03
Barycenter H:23.22
H[km]	Mag	PDF
20.5282	6.7797	0.001269
21.9221	6.7797	0.003570
23.4105	6.7797	0.005001
25.0000	6.7797	0.004823
20.5282	6.8814	0.013592
21.9221	6.8814	0.038228
23.4105	6.8814	0.053550
25.0000	6.8814	0.051644
20.5282	6.9831	0.028422
21.9221	6.9831	0.079936
23.4105	6.9831	0.111974
25.0000	6.9831	0.107988
20.5282	7.0847	0.028422
21.9221	7.0847	0.079936
23.4105	7.0847	0.111974
25.0000	7.0847	0.107988
20.5282	7.1864	0.013592
21.9221	7.1864	0.038228
23.4105	7.1864	0.053550
25.0000	7.1864	0.051644
20.5282	7.2881	0.001269
21.9221	7.2881	0.003570
23.4105	7.2881	0.005001
25.0000	7.2881	0.004823
